Tester: PCL
Test Date: 2016-04-11 11:03
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
313,right,c,0.815
314,left,c,0.807
315,right,c,0.64
316,left,c,0.703
317,left,c,0.704
318,right,c,0.735
319,right,c,0.767
320,left,c,0.807
321,left,c,0.696
322,right,c,0.992
323,left,c,0.663
324,left,c,0.784
325,right,c,0.936
326,left,c,0.687
327,right,c,0.816
328,left,c,0.672
329,right,c,0.976
330,right,c,0.783
331,right,c,0.686
332,right,c,0.816
333,right,c,0.623
334,right,c,0.696
335,right,c,0.615
336,right,c,0.704
337,left,c,0.695
338,right,c,0.719
339,left,c,0.696
340,right,c,0.519
341,right,c,0.528
342,left,c,0.527
343,right,c,0.855
344,left,c,0.591
345,right,c,0.551
346,left,c,0.655
347,left,c,0.696
348,right,c,0.654
349,left,c,0.648
350,right,c,0.863
351,right,w,0.552
352,right,w,0.741
353,right,c,2.197
354,right,c,1.024
355,right,c,0.799
356,right,c,0.607
357,left,c,0.687
358,right,c,0.839
359,left,c,0.664
360,left,c,0.839
361,left,w,4.404
362,right,c,3.118
363,right,c,0.759
364,right,c,1.351
365,left,c,0.615
366,left,c,0.71
367,left,c,0.616
368,right,c,0.623
369,left,c,0.791
370,left,c,0.911
371,right,c,0.607
372,right,c,1.095
373,left,c,0.622
374,left,c,0.703
375,left,c,0.639
376,left,c,0.695
377,left,c,0.927
378,left,c,0.719
379,left,c,0.671
380,left,c,0.575
381,right,c,0.671
382,left,c,0.639
383,right,c,1.063
384,left,c,0.991
385,right,c,0.566
386,right,c,0.568
387,left,c,0.687
388,right,c,0.687
389,left,c,0.688
390,right,c,0.728
391,left,c,0.679
392,right,c,0.599
393,right,c,0.96
394,right,c,1.047
395,left,c,0.64
396,right,c,0.864
397,right,c,0.968
398,right,c,0.544
399,left,c,0.64
400,right,c,0.527
401,left,c,1.327
402,left,c,0.959
403,right,c,0.623
404,left,c,0.671
405,right,c,0.655
406,left,c,0.672
407,right,c,1.063
408,right,c,0.559
409,right,c,0.753
410,left,c,0.855
411,right,c,0.67
412,right,c,0.872
413,left,c,0.736
414,right,c,0.943
415,right,c,0.743
416,right,c,0.807
417,right,c,0.743
418,left,c,0.934
419,right,c,0.577
420,left,c,0.655
421,left,c,1.373
422,right,c,0.897
423,right,c,0.711
424,right,c,0.558
425,left,c,0.767
426,left,c,0.672
427,right,c,0.671
428,left,c,0.72
429,left,c,0.83
430,left,c,0.743
431,right,c,0.528
432,right,c,0.623
433,left,c,0.599
434,right,c,0.767
435,right,c,0.95
436,left,c,0.791
437,right,c,0.768
438,left,c,1.063
439,left,c,0.864
440,right,c,0.902
441,right,c,1.096
442,right,c,0.535
443,left,c,0.711
444,right,c,0.52
445,left,c,0.647
446,left,c,0.655
447,right,c,0.591
448,left,c,0.688
449,right,c,0.639
450,right,c,0.607
451,left,c,0.687
452,right,c,0.871
453,left,c,0.791
454,right,c,0.871
455,left,c,0.631
456,right,c,0.903
457,right,c,0.895
458,right,c,0.607
459,right,c,1.335
460,right,c,0.527
461,right,c,1.335
462,right,c,0.703
463,right,c,0.846
464,left,c,1.104
465,left,c,0.736
466,left,c,0.607
467,right,c,0.655
468,right,c,0.631
469,left,c,0.856
470,right,c,0.631
471,left,c,0.759
472,right,c,0.544
473,left,c,0.727
474,left,c,0.72
475,right,w,0.879
476,right,c,1.39
477,right,c,0.919
478,right,c,0.543
479,left,c,0.6
480,left,c,0.72
481,left,c,0.998
482,right,c,0.655
483,right,c,0.558
484,right,c,0.608
485,left,c,0.712
486,right,c,0.487
487,left,c,0.599
488,left,c,0.719
489,right,c,0.559
490,right,c,0.575
491,right,c,0.528
492,left,c,0.607
493,right,c,0.608
494,left,c,0.607
495,left,c,0.655
496,right,c,1.039
497,left,c,0.807
498,left,c,0.751
499,left,c,0.622
500,right,c,0.68
501,right,c,0.615
502,right,c,1.086
503,right,c,0.472
504,right,c,0.839
505,right,c,0.623
506,right,c,0.71
507,left,c,0.648
508,left,c,0.728
509,left,c,0.575
510,right,c,0.944
511,left,c,0.6
512,left,c,0.712
513,left,c,0.6
514,right,c,0.639
515,right,c,0.568
516,right,c,0.656
517,right,c,0.678
518,right,c,0.712
519,right,c,0.552
520,right,c,0.567
521,right,c,0.591
522,left,c,0.687
523,right,c,0.545
524,left,c,0.584
525,right,c,0.823
526,left,c,0.591
527,left,c,0.681
528,right,c,0.614
529,left,c,0.776
530,right,c,0.479
531,left,c,0.728
532,right,c,0.661
533,left,c,0.848
534,right,c,0.727
535,left,c,0.72
536,left,c,0.799
537,right,c,0.639
538,right,c,0.656
539,right,c,0.808
540,right,c,0.76
541,right,c,0.592
542,left,c,0.919
543,left,c,0.632
544,left,c,0.679
545,left,c,0.991
546,right,c,0.527
547,right,c,0.585
548,left,c,0.608
549,left,c,0.887
550,right,c,0.759
551,right,c,0.71
552,right,c,0.871
553,left,c,0.839
554,right,c,0.535
555,left,c,0.648
556,right,c,0.696
557,right,c,0.574
558,left,c,0.601
559,right,c,0.622
560,right,c,0.63
561,right,c,0.592
562,right,c,0.704
563,right,c,0.696
564,right,c,1.103
565,right,c,0.631
566,right,c,1.199
567,right,c,0.623
568,left,c,0.969
569,right,c,0.847
570,left,c,0.847
571,right,c,0.711
572,right,c,0.633
573,right,c,0.735
574,left,c,0.968
575,left,c,0.622
576,left,c,1.209
577,left,c,0.478
578,right,c,0.967
579,left,c,0.856
580,right,c,0.735
581,right,c,0.592
582,right,c,0.591
583,left,c,0.639
584,right,c,0.512
585,right,c,0.72
586,left,c,0.726
587,right,c,0.576
588,right,c,0.559
589,left,c,0.606
590,right,c,0.744
591,right,c,0.624
592,left,c,0.648
593,left,c,0.806
594,right,c,0.56
595,left,c,0.743
596,right,c,0.655
597,left,c,0.712
598,right,c,0.765
599,right,c,0.952
600,right,c,0.911
601,right,c,1.981
602,left,c,0.702
603,right,c,0.695
604,left,c,0.584
605,right,c,0.583
606,right,c,0.759
607,left,c,0.928
608,right,c,0.64
609,right,c,0.551
610,left,c,0.839
611,left,c,1.007
612,right,c,0.672
613,right,c,0.704
614,left,c,0.751
615,left,c,0.687
616,right,c,0.576
617,left,c,0.543
618,left,c,0.625
619,right,c,0.631
620,right,c,0.543
621,right,c,0.558
622,left,c,0.68
623,left,c,0.703
624,left,c,0.855
625,left,c,0.655
626,left,c,0.639
627,right,c,0.823
628,left,c,0.552
629,left,c,0.583
630,right,c,0.927
631,left,c,0.719
632,left,c,0.671
633,left,c,0.726
634,right,c,0.816
635,right,c,0.663
636,right,c,0.871
637,left,c,0.846
638,right,c,0.672
639,left,c,0.766
640,left,c,1.048
641,left,c,0.583
642,right,c,1
643,right,c,0.551
644,right,c,0.711
645,right,c,0.527
646,right,c,0.639
647,right,c,0.544
648,right,c,0.967
649,right,c,0.663
650,left,c,0.871
651,right,c,0.496
652,left,c,0.583
653,right,c,0.479
654,right,c,0.537
655,right,c,0.525
656,right,c,0.624
657,right,c,0.496
658,right,c,0.687
659,right,c,0.535
660,left,c,1.015
661,right,c,0.511
662,left,c,0.728
663,right,c,0.495
664,right,c,0.631
665,right,c,0.616
666,left,c,0.631
667,left,c,0.687
668,right,c,0.569
669,right,c,0.519
670,left,c,0.599
671,right,c,0.839
672,left,c,0.919
673,left,c,0.838
674,right,c,0.527
675,right,c,0.808
676,right,c,0.759
677,right,c,0.575
678,right,c,0.559
679,left,c,0.776
680,right,c,0.928
681,right,c,0.614
682,left,c,0.663
683,left,c,0.695
684,right,c,0.775
685,left,c,1.136
686,left,c,0.96
687,right,c,0.656
688,right,c,0.663
689,left,c,0.68
690,left,c,0.672
691,left,c,0.783
692,right,c,0.545
693,right,c,0.712
694,left,c,0.599
695,left,c,0.647
696,left,c,0.72
697,left,c,0.656
698,left,c,0.711
699,left,c,0.783
700,right,c,0.72
701,left,c,0.695
702,right,c,0.687
703,left,c,0.686
704,left,c,0.713
705,left,c,0.535
706,left,c,0.647
707,left,c,0.703
708,right,c,0.6
709,left,c,0.662
710,right,c,0.703
711,right,c,0.583
712,left,c,0.647
713,left,c,0.831
714,right,c,0.687
715,left,c,0.791
716,right,c,0.72
717,right,c,0.767
718,right,c,1.007
719,right,c,0.568
720,right,c,0.624
