Tester: Dragon
Test Date: 2016-07-22 20:30
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
313,left,c,1.048
314,right,c,1.263
315,right,c,0.696
316,left,c,0.855
317,left,c,0.686
318,right,w,0.519
319,left,c,1.006
320,left,c,0.735
321,right,c,1.128
322,left,c,0.816
323,left,c,0.711
324,right,c,0.655
325,left,c,0.728
326,right,c,0.862
327,right,c,0.567
328,right,c,0.942
329,left,c,0.737
330,right,c,1.272
331,left,c,0.647
332,left,c,1.047
333,left,c,0.743
334,right,c,0.855
335,left,c,0.688
336,left,c,0.87
337,right,c,0.736
338,right,c,0.999
339,left,w,0.943
340,left,c,1.214
341,right,c,0.647
342,left,c,1.023
343,right,c,0.896
344,left,c,0.648
345,left,c,0.736
346,right,c,0.567
347,left,c,0.696
348,right,w,0.983
349,right,c,1.645
350,left,c,1.112
351,left,c,0.704
352,left,c,1.086
353,right,c,0.695
354,left,c,0.951
355,right,c,0.887
356,left,c,0.663
357,left,c,0.648
358,left,c,0.887
359,right,c,0.791
360,right,c,1.039
361,right,w,0.963
362,left,c,0.789
363,right,c,0.511
364,left,w,0.631
365,left,c,1.502
366,left,c,1.375
367,right,c,0.767
368,right,c,0.695
369,right,c,0.871
370,left,c,0.829
371,left,c,0.721
372,right,c,0.895
373,left,c,0.735
374,right,c,1.134
375,right,c,0.84
376,right,c,0.838
377,left,c,1.216
378,right,c,0.775
379,right,c,1.095
380,right,c,0.784
381,left,c,0.728
382,left,c,0.575
383,left,c,0.728
384,right,c,0.71
385,left,c,0.783
386,right,c,1.439
387,right,c,2.031
388,right,c,1.247
389,left,c,1.079
390,right,c,0.816
391,left,c,1.007
392,left,c,0.814
393,left,c,0.576
394,left,c,0.742
395,right,c,1.143
396,left,c,0.911
397,left,c,0.967
398,left,c,0.639
399,left,c,0.567
400,right,c,0.727
401,right,c,0.879
402,right,c,1.095
403,right,c,0.823
404,left,c,0.68
405,right,c,1.184
406,right,c,0.68
407,left,c,0.647
408,right,c,1.079
409,left,c,0.768
410,left,c,0.719
411,left,c,0.744
412,left,c,0.608
413,left,c,0.527
414,left,c,0.631
415,right,c,0.711
416,left,c,0.67
417,right,c,0.712
418,left,c,0.64
419,left,c,0.672
420,left,c,0.927
421,left,c,0.623
422,right,c,1.031
423,left,c,0.944
424,left,c,0.622
425,right,c,0.88
426,right,w,1.655
427,left,c,0.821
428,left,c,2.335
429,left,c,0.863
430,left,c,0.549
431,right,c,0.537
432,right,c,0.735
433,left,c,0.695
434,right,c,0.671
435,left,c,0.527
436,left,c,0.871
437,right,c,0.711
438,right,c,1.087
439,right,c,1.102
440,right,c,1.143
441,right,c,0.88
442,left,c,0.743
443,right,c,0.616
444,right,c,1.511
445,left,c,0.534
446,left,c,0.626
447,right,c,0.598
448,right,w,1.399
449,left,c,1.174
450,left,c,0.919
451,left,c,0.831
452,left,c,0.64
453,left,c,0.67
454,right,c,1.063
455,right,c,0.871
456,right,c,0.799
457,right,c,0.743
458,right,c,1.063
459,right,c,0.959
460,left,c,0.967
461,left,c,0.575
462,left,c,1.127
463,left,c,0.895
464,left,c,0.583
465,left,c,0.512
466,right,c,0.974
467,right,c,1.065
468,right,c,0.926
469,left,c,0.784
470,right,c,0.887
471,right,c,0.839
472,left,c,1.167
473,right,c,0.959
474,right,c,0.655
475,left,c,0.638
476,right,c,1.241
477,right,c,0.887
478,right,c,0.743
479,left,c,0.736
480,right,c,0.608
481,left,c,0.927
482,right,c,0.615
483,right,c,0.664
484,left,c,1.038
485,left,c,0.624
486,left,c,0.96
487,left,c,0.719
488,left,c,0.582
489,left,c,0.737
490,right,c,0.959
491,left,c,0.711
492,right,c,0.679
493,right,c,0.648
494,right,c,1.071
495,right,c,0.728
496,left,c,0.679
497,right,c,0.767
498,right,c,0.862
499,left,c,0.688
500,left,c,0.791
501,right,c,0.657
502,right,c,0.79
503,left,c,0.678
504,right,c,0.631
505,right,c,0.672
506,right,c,0.79
507,right,c,0.968
508,left,c,1.198
509,left,c,0.632
510,right,c,0.487
511,left,c,0.792
512,right,c,0.639
513,right,c,1.152
514,left,c,0.574
515,left,c,0.8
516,right,c,0.575
517,right,c,0.663
518,right,c,0.95
519,left,c,0.793
520,left,c,0.807
521,right,c,1.488
522,right,c,1.047
523,left,w,0.696
524,left,c,1.774
525,left,c,0.775
526,right,c,0.744
527,right,c,0.934
528,left,c,0.599
529,right,c,0.711
530,left,c,0.688
531,left,c,0.64
532,right,c,0.695
533,left,c,0.84
534,right,w,0.727
535,right,c,1.061
536,right,c,0.774
537,right,c,0.712
538,right,c,1.199
539,left,c,0.767
540,right,c,0.783
541,left,c,0.685
542,left,c,0.673
543,right,c,0.791
544,right,c,0.886
545,right,c,0.888
546,right,c,0.758
547,right,c,1.704
548,right,c,0.831
549,right,c,0.983
550,right,c,0.968
551,right,c,1.672
552,left,c,0.591
553,right,c,0.582
554,right,c,0.639
555,left,c,0.639
556,right,c,0.615
557,right,c,0.648
558,left,c,0.639
559,left,c,1.152
560,right,c,0.702
561,right,c,0.704
562,left,c,0.623
563,left,c,0.839
564,right,c,0.687
565,left,c,0.663
566,left,c,0.655
567,right,c,0.671
568,right,c,0.705
569,right,c,0.854
570,right,c,0.736
571,right,c,0.679
572,right,c,0.831
573,right,c,1.207
574,left,c,0.655
575,left,c,0.608
576,right,c,0.647
577,right,c,0.703
578,left,c,0.559
579,right,c,0.678
580,right,c,0.832
581,right,c,0.743
582,right,c,0.678
583,left,c,0.808
584,right,c,0.639
585,right,c,0.776
586,left,c,0.783
587,left,c,1.014
588,right,c,0.6
589,left,c,0.598
590,left,c,0.545
591,left,c,0.566
592,left,c,0.616
593,left,c,0.719
594,left,c,0.638
595,left,c,0.784
596,left,c,0.582
597,left,w,2.752
598,left,c,0.83
599,left,c,1.807
600,right,c,0.632
601,left,c,1.165
602,right,w,0.823
603,right,c,0.75
604,right,c,0.791
605,right,c,0.968
606,right,c,0.839
607,left,c,0.632
608,right,c,0.743
609,right,c,0.743
610,left,c,0.615
611,left,c,0.672
612,left,c,0.63
613,left,c,0.68
614,left,c,0.671
615,left,c,0.712
616,left,c,0.51
617,right,c,0.92
618,right,c,0.752
619,left,c,0.664
620,right,c,1.862
621,left,c,0.79
622,left,c,0.656
623,right,c,0.919
624,right,c,1.159
625,right,c,0.744
626,right,c,1.054
627,right,c,1.28
628,right,c,1.144
629,left,c,0.76
630,left,c,0.567
631,left,c,0.783
632,right,c,2.264
633,right,c,2.015
634,left,c,0.752
635,left,c,0.806
636,right,w,1.064
637,left,c,1.031
638,right,c,0.815
639,left,c,1.062
640,right,c,0.696
641,right,c,0.663
642,left,c,0.719
643,left,c,0.711
644,right,c,0.623
645,left,c,0.869
646,right,c,1.344
647,right,c,1.743
648,left,c,0.728
649,left,w,0.895
650,left,c,1.223
651,left,w,0.711
652,right,c,1.229
653,right,c,0.831
654,left,c,0.839
655,right,c,0.927
656,right,c,0.807
657,left,c,0.664
658,right,c,0.799
659,right,c,0.936
660,right,c,0.711
661,right,c,0.735
662,left,c,0.727
663,left,c,0.695
664,right,c,0.711
665,right,c,0.664
666,left,c,0.584
667,left,c,0.663
668,left,c,0.855
669,right,c,1.407
670,left,w,1.294
671,right,c,1.71
672,left,c,0.871
673,right,c,0.871
674,right,c,1.175
675,left,c,0.991
676,right,c,1.015
677,left,c,0.623
678,left,c,0.671
679,left,c,0.583
680,right,c,0.975
681,left,c,0.719
682,left,c,0.607
683,left,c,0.584
684,right,c,0.654
685,left,c,0.608
686,right,c,1.294
687,left,c,1.319
688,left,c,1.023
689,right,c,1.111
690,left,c,0.592
691,left,c,0.575
692,left,c,0.536
693,right,c,0.975
694,left,c,0.631
695,right,c,1.072
696,right,c,1.2
697,right,c,0.917
698,right,c,1.265
699,left,c,0.696
700,left,c,0.767
701,left,c,0.672
702,right,c,0.695
703,right,c,0.752
704,right,c,0.871
705,right,c,0.799
706,right,c,0.83
707,right,c,0.968
708,right,c,0.887
709,left,c,0.695
710,right,c,0.727
711,right,c,0.695
712,right,c,0.687
713,right,c,0.719
714,right,c,0.855
715,left,c,0.727
716,right,c,0.567
717,left,c,0.727
718,left,c,0.855
719,left,c,0.951
720,left,c,0.655
