Tester: Ben
Test Date: 2016-05-06 12:14
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
313,left,c,1.799
314,left,c,0.855
315,left,c,0.711
316,right,c,0.719
317,left,c,0.488
318,right,c,0.544
319,right,c,0.575
320,left,c,0.734
321,left,c,0.527
322,left,c,0.696
323,left,c,0.48
324,right,c,0.72
325,right,c,0.584
326,left,c,0.528
327,right,c,0.656
328,right,c,0.703
329,left,c,0.6
330,right,c,0.606
331,right,c,0.488
332,right,c,0.648
333,left,c,0.592
334,right,c,0.728
335,left,c,0.632
336,left,c,0.615
337,right,c,0.527
338,left,c,0.783
339,right,c,0.519
340,left,w,0.575
341,left,w,0.735
342,right,w,0.07
343,right,c,0.689
344,left,c,1.199
345,right,w,0.664
346,right,c,0.741
347,left,c,0.623
348,left,c,0.639
349,right,c,0.591
350,left,c,0.615
351,right,c,0.792
352,right,c,0.711
353,left,c,0.703
354,right,w,0.631
355,left,c,0.71
356,right,c,0.975
357,right,c,2.495
358,right,c,0.919
359,left,c,0.791
360,right,c,0.623
361,left,c,1.459
362,left,c,0.888
363,right,w,0.656
364,left,w,0.975
365,right,w,0.053
366,right,c,0.706
367,left,c,1.591
368,right,c,0.607
369,left,c,0.64
370,right,c,0.487
371,left,c,0.767
372,left,c,0.711
373,right,c,0.711
374,right,c,0.623
375,right,w,0.823
376,right,c,0.63
377,right,c,0.671
378,right,c,0.751
379,right,c,0.727
380,right,c,0.983
381,right,c,0.591
382,left,c,0.686
383,right,c,0.648
384,left,w,0.6
385,right,c,0.646
386,right,c,1.023
387,right,c,1.263
388,left,w,0.735
389,left,c,0.846
390,left,c,1.591
391,right,c,1
392,left,c,0.799
393,right,c,0.688
394,left,c,0.654
395,left,c,0.711
396,right,c,0.575
397,right,c,0.592
398,left,c,0.623
399,left,c,0.72
400,left,c,0.624
401,right,c,0.55
402,right,c,0.799
403,left,c,0.512
404,left,c,0.6
405,left,c,0.528
406,left,c,0.576
407,left,c,0.808
408,left,c,0.544
409,right,w,0.63
410,left,c,0.688
411,left,c,0.736
412,left,c,0.84
413,left,c,0.768
414,right,c,0.903
415,left,c,0.551
416,left,c,0.599
417,left,c,0.712
418,left,c,0.56
419,left,c,0.831
420,left,c,0.511
421,left,c,0.631
422,left,c,0.735
423,right,c,0.775
424,left,c,0.783
425,left,c,0.631
426,left,c,0.614
427,left,c,0.64
428,left,c,0.663
429,right,c,0.552
430,right,c,0.663
431,right,c,0.639
432,left,c,0.511
433,left,c,0.687
434,left,c,0.455
435,left,c,0.623
436,right,c,1.448
437,left,c,0.663
438,right,c,0.631
439,right,c,0.839
440,left,c,0.535
441,left,c,0.823
442,left,c,0.463
443,right,w,0.687
444,left,c,0.662
445,left,c,0.583
446,left,c,0.608
447,right,c,0.6
448,left,c,0.447
449,right,c,0.727
450,left,c,0.416
451,right,c,0.647
452,right,c,0.519
453,left,w,0.782
454,left,c,0.622
455,right,c,0.558
456,right,c,1.544
457,right,c,0.809
458,left,c,0.631
459,left,c,0.702
460,left,c,0.559
461,left,c,0.624
462,left,c,0.512
463,left,c,0.719
464,left,c,0.504
465,left,c,0.704
466,right,c,0.871
467,right,c,0.719
468,right,c,0.679
469,right,c,0.823
470,left,c,0.575
471,left,c,1.783
472,left,c,0.623
473,right,c,0.711
474,left,c,0.471
475,right,c,0.687
476,right,c,0.687
477,left,c,0.599
478,right,c,0.911
479,left,c,0.583
480,left,c,0.519
481,right,c,4.36
482,left,c,0.695
483,left,c,0.975
484,left,c,0.727
485,right,c,0.73
486,left,w,5.471
487,right,w,1.246
488,right,w,1.67
489,right,c,2.166
490,right,c,1.015
491,right,c,0.695
492,left,c,0.551
493,left,c,0.712
494,left,c,0.814
495,right,c,0.528
496,left,c,0.607
497,right,c,0.511
498,left,c,0.43
499,left,c,0.872
500,left,c,0.832
501,right,c,0.615
502,left,c,0.471
503,left,c,0.487
504,left,c,0.494
505,right,c,0.592
506,left,c,0.535
507,right,c,0.798
508,left,c,0.608
509,left,c,0.631
510,right,c,0.496
511,left,c,0.432
512,right,c,0.488
513,left,c,0.775
514,right,w,0.59
515,left,c,0.638
516,left,c,0.583
517,right,c,0.552
518,right,c,0.559
519,right,c,0.767
520,left,c,0.503
521,left,c,0.514
522,left,c,0.582
523,left,c,0.559
524,left,c,1.024
525,right,c,1.263
526,left,c,0.751
527,left,c,1.081
528,right,c,0.551
529,left,c,0.752
530,left,c,0.615
531,right,c,0.631
532,left,c,0.487
533,right,c,0.608
534,left,c,0.463
535,left,c,0.495
536,right,c,0.6
537,right,c,0.511
538,left,c,0.527
539,left,w,0.807
540,left,c,1.82
541,left,c,1.057
542,left,c,1.079
543,right,c,0.615
544,left,c,0.567
545,right,c,0.575
546,left,c,0.503
547,right,c,0.527
548,right,c,0.727
549,right,c,0.552
550,left,c,0.624
551,left,c,0.519
552,right,c,0.566
553,right,c,0.511
554,right,c,0.616
555,left,c,0.511
556,right,c,0.575
557,left,c,0.503
558,left,c,1.159
559,left,c,0.64
560,left,c,0.672
561,right,c,0.567
562,right,c,0.952
563,right,c,0.592
564,right,c,0.574
565,left,w,0.689
566,left,c,0.718
567,left,c,1.096
568,left,c,1.056
569,right,c,0.654
570,right,c,1.312
571,right,c,0.551
572,left,c,1.233
573,left,c,1.096
