Tester: Henry
Test Date: 2016-03-16 15:32
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
313,right,c,0.639
314,left,c,0.615
315,left,c,0.6
316,left,c,0.584
317,left,c,0.695
318,left,c,0.584
319,right,c,0.735
320,left,c,0.503
321,left,c,0.791
322,right,c,0.455
323,right,c,0.52
324,left,c,0.696
325,right,c,0.504
326,left,c,0.607
327,right,c,0.623
328,left,c,0.671
329,left,c,0.623
330,left,c,0.671
331,right,c,0.583
332,left,c,0.543
333,right,c,0.559
334,left,c,0.775
335,right,c,0.639
336,right,c,0.671
337,right,c,0.511
338,right,c,0.783
339,left,c,0.727
340,right,c,0.559
341,left,c,0.567
342,right,c,0.495
343,left,c,0.583
344,left,c,0.591
345,right,c,0.575
346,right,c,0.687
347,right,c,0.76
348,right,c,0.527
349,right,c,0.533
350,left,c,0.658
351,left,c,0.815
352,left,c,0.614
353,right,c,0.535
354,left,c,0.583
355,left,c,0.639
356,left,c,0.639
357,left,c,0.607
358,left,c,0.631
359,left,c,1.167
360,left,c,0.535
361,left,c,2.984
362,right,c,0.663
363,right,c,1.311
364,right,c,0.775
365,left,c,0.703
366,left,c,0.615
367,right,c,0.607
368,left,c,0.592
369,left,c,0.734
370,right,c,0.599
371,right,c,0.847
372,right,c,0.599
373,right,c,0.751
374,right,c,0.663
375,right,c,0.935
376,right,c,0.855
377,right,c,0.895
378,left,c,0.703
379,right,c,0.575
380,left,c,0.503
381,right,c,2.159
382,left,c,0.607
383,right,c,0.527
384,left,c,0.487
385,left,c,0.727
386,right,c,0.487
387,right,c,0.607
388,left,c,0.575
389,left,c,0.567
390,right,c,0.519
391,right,c,0.567
392,left,c,0.624
393,left,c,0.488
394,left,c,0.536
395,left,w,0.558
396,left,c,1.534
397,left,c,0.568
398,right,c,0.559
399,left,c,0.486
400,right,c,0.528
401,right,c,0.599
402,left,c,0.68
403,left,c,0.576
404,right,c,0.552
405,left,c,0.576
406,left,c,0.535
407,left,c,0.535
408,left,c,0.496
409,right,c,0.511
410,left,c,0.727
411,right,c,0.496
412,left,c,0.535
413,right,c,0.463
414,right,c,0.607
415,right,c,0.535
416,left,c,0.712
417,left,c,0.702
418,left,c,0.655
419,right,c,0.551
420,right,c,0.631
421,right,c,1.183
422,left,c,0.759
423,right,c,0.511
424,left,c,0.799
425,right,c,0.711
426,left,c,0.519
427,left,c,0.535
428,left,c,0.599
429,right,c,0.559
430,right,c,0.663
431,left,c,0.607
432,right,c,0.567
433,left,c,0.775
434,right,c,0.639
435,left,c,0.551
436,right,c,0.815
437,left,c,0.631
438,left,c,0.727
439,right,c,0.495
440,left,c,0.551
441,right,c,0.543
442,right,c,0.559
443,left,c,0.607
444,left,c,0.535
445,right,c,0.463
446,left,c,0.535
447,left,c,0.672
448,left,c,0.647
449,left,c,0.823
450,right,c,0.56
451,right,c,0.591
452,left,c,0.752
453,right,c,0.59
454,left,c,0.487
455,right,c,0.511
456,right,c,0.631
457,right,c,0.623
458,left,c,0.575
459,left,c,0.862
460,right,c,0.495
461,left,c,0.504
462,right,c,0.503
463,right,c,0.63
464,right,c,0.535
465,right,c,0.671
466,right,c,0.543
467,left,c,0.567
468,right,c,0.503
469,right,w,2.383
470,left,c,1.653
471,right,c,0.599
472,left,c,2.631
473,right,c,1.967
474,right,c,0.751
475,left,c,0.631
476,right,c,0.607
477,left,c,0.615
478,left,c,0.839
479,right,c,0.575
480,right,c,0.799
481,right,c,2.834
482,left,w,0.695
483,left,c,1.27
484,right,c,0.439
485,left,c,0.951
486,right,c,0.575
487,left,c,0.511
488,left,c,0.671
489,right,c,0.454
490,left,c,0.504
491,left,c,0.598
492,left,c,0.569
493,left,c,0.584
494,right,c,0.479
495,left,c,0.48
496,right,c,0.463
497,right,c,0.551
498,right,c,0.583
499,left,c,0.615
500,right,c,0.464
501,left,c,0.544
502,right,c,0.503
503,right,c,0.471
504,left,c,0.551
505,right,c,0.463
506,right,c,0.647
507,left,c,0.51
508,right,c,0.464
509,right,c,0.51
510,left,c,0.527
511,left,c,0.576
512,right,c,0.439
513,right,c,0.551
514,right,c,0.655
515,left,c,1.223
516,left,c,0.647
517,right,c,0.455
518,left,c,0.504
519,right,c,0.422
520,left,c,0.511
521,right,c,0.448
522,right,c,0.519
523,right,c,0.543
524,left,c,0.575
525,left,c,0.649
526,left,c,0.558
527,right,c,0.656
528,right,c,0.599
529,right,c,0.544
530,right,c,0.584
531,left,c,0.591
532,left,c,0.599
533,left,c,0.504
534,left,c,0.607
535,right,c,0.551
536,left,c,0.63
537,right,c,0.518
538,left,c,0.648
539,left,c,0.591
540,right,c,0.503
541,right,c,0.511
542,left,c,0.607
543,right,c,0.47
544,left,c,0.504
545,left,c,0.519
546,right,c,0.568
547,right,c,0.559
548,right,c,0.639
549,left,c,0.567
550,left,c,0.559
551,left,c,0.606
552,left,c,0.672
553,right,c,0.687
554,right,c,0.638
555,right,c,0.608
556,left,c,0.656
557,left,c,0.703
558,right,c,0.535
559,right,c,0.558
560,right,c,0.567
561,left,c,0.632
562,left,c,0.639
563,left,c,0.679
564,right,c,0.59
565,right,c,0.631
566,right,c,0.656
567,right,c,0.591
568,left,c,0.52
569,right,c,0.558
570,right,c,0.695
571,right,c,0.519
572,right,c,0.649
573,right,c,0.686
574,right,c,0.543
575,right,c,0.534
576,left,c,0.616
577,right,c,0.6
578,right,c,0.574
579,left,c,0.823
580,right,c,0.519
581,right,c,0.575
582,left,c,0.67
583,left,c,0.678
584,right,c,0.528
585,right,c,0.504
586,right,c,0.694
587,right,c,0.551
588,right,c,0.631
589,right,c,0.822
590,left,c,0.504
591,left,c,0.599
592,left,c,0.639
593,left,c,0.535
594,left,c,0.614
595,right,c,0.584
596,right,c,0.679
597,left,c,0.616
598,right,c,0.575
599,left,c,0.536
600,right,c,0.623
601,left,c,1.073
602,left,c,0.639
603,right,c,0.47
604,right,c,0.616
605,left,c,0.542
606,left,c,0.56
607,left,c,0.502
608,right,c,0.472
609,right,c,0.584
610,right,c,0.502
611,left,c,0.536
612,right,c,0.455
613,right,c,0.606
614,left,c,0.624
615,left,c,0.766
616,right,c,0.512
617,left,c,0.599
618,left,c,0.63
619,right,c,0.48
620,left,c,0.494
621,right,c,0.528
622,left,c,0.559
623,left,c,0.497
624,left,c,0.559
625,left,c,0.511
626,right,c,0.431
627,left,c,0.576
628,right,c,0.455
629,right,c,0.518
630,right,c,0.479
631,left,c,0.535
632,left,c,0.552
633,left,c,0.615
634,right,c,0.487
635,right,c,0.694
636,right,c,0.543
637,right,c,0.559
638,left,c,0.566
639,right,c,0.552
640,right,c,0.559
641,left,c,0.527
642,left,c,0.583
643,left,c,0.862
644,right,c,0.472
645,left,c,0.599
646,right,c,0.512
647,left,c,0.486
648,right,c,0.527
649,left,c,0.496
650,right,c,0.471
651,right,c,0.551
652,right,c,0.647
653,left,c,0.535
654,left,c,0.575
655,left,c,0.639
656,left,w,1.398
657,right,c,1.494
658,left,c,0.614
659,left,c,0.688
660,right,c,0.471
661,right,c,0.671
662,left,c,0.559
663,left,c,0.728
664,right,c,0.471
665,left,c,0.607
666,left,c,0.742
667,right,c,0.456
668,left,c,0.486
669,left,c,0.768
670,left,c,0.638
671,right,c,0.512
672,left,c,0.629
673,left,c,0.681
674,right,c,0.446
675,left,c,0.496
676,left,c,0.727
677,left,c,0.662
678,left,c,0.631
679,right,c,0.551
680,right,c,0.679
681,right,c,0.567
682,left,c,0.607
683,right,c,0.72
684,right,c,0.687
685,right,c,0.464
686,right,c,0.559
687,right,c,0.463
688,left,c,0.591
689,right,c,0.454
690,left,c,0.624
691,right,c,0.536
692,right,c,0.584
693,left,c,0.638
694,left,c,0.647
695,right,c,0.559
696,right,c,0.551
697,left,c,0.487
698,right,c,0.559
699,right,c,0.631
700,right,c,0.52
701,right,c,0.551
702,right,c,0.48
703,left,c,0.511
704,left,c,0.599
705,right,c,0.488
706,left,c,0.527
707,right,c,0.55
708,left,c,0.568
709,left,c,0.551
710,right,c,0.502
711,left,c,0.551
712,left,c,0.52
713,left,c,0.623
714,right,c,0.55
715,left,c,0.657
716,right,c,0.487
717,right,c,0.632
718,left,c,0.591
719,left,c,0.648
720,right,w,0.51
