Tester: Ash
Test Date: 2016-05-04 11:15
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
313,right,c,0.743
314,right,c,0.711
315,left,c,0.631
316,right,c,0.687
317,right,c,0.648
318,right,c,0.824
319,right,c,0.623
320,right,c,0.624
321,right,c,0.695
322,right,c,0.536
323,right,c,0.704
324,left,c,0.552
325,right,c,0.727
326,right,c,0.648
327,left,c,0.688
328,left,c,1.4
329,left,c,0.727
330,left,c,0.96
331,right,c,0.975
332,left,c,0.799
333,left,c,0.727
334,right,c,0.807
335,right,c,0.863
336,right,c,0.911
337,right,c,0.615
338,right,c,0.823
339,right,c,0.711
340,left,c,0.575
341,left,c,0.775
342,left,c,0.735
343,left,c,0.591
344,left,c,0.663
345,left,c,1.103
346,right,c,0.847
347,left,c,0.807
348,right,c,0.83
349,left,c,0.752
350,right,c,0.791
351,right,c,0.663
352,left,c,0.671
353,right,c,0.677
354,left,c,0.867
355,right,c,0.854
356,right,c,0.944
357,right,c,0.824
358,left,c,0.76
359,right,c,0.592
360,left,c,0.52
361,left,w,3.306
362,left,w,1.659
363,right,w,2.358
364,left,c,0.887
365,left,c,0.807
366,right,w,0.006
367,right,c,1.431
368,left,w,2.159
369,right,c,2.478
370,right,c,1.919
371,right,c,0.846
372,right,c,0.776
373,left,c,0.735
374,left,c,0.791
375,left,c,1.191
376,left,c,0.864
377,left,c,0.631
378,left,c,0.823
379,right,c,0.863
380,left,c,0.904
381,left,c,1.016
382,left,c,0.712
383,right,c,0.624
384,right,c,0.672
385,left,c,0.576
386,left,c,0.695
387,right,c,0.608
388,right,c,0.984
389,left,c,0.6
390,left,c,1.352
391,right,c,0.702
392,right,c,0.976
393,left,c,0.567
394,right,c,0.704
395,left,c,0.806
396,right,c,0.879
397,right,c,2.095
398,left,c,0.736
399,left,c,0.926
400,left,c,0.647
401,right,w,0.807
402,right,c,1.27
403,left,c,0.919
404,left,c,0.687
405,left,c,1.239
406,left,c,0.591
407,right,c,0.703
408,right,c,0.743
409,right,c,0.864
410,left,c,0.648
