Tester: Justin
Test Date: 2016-04-01 13:21
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
313,left,c,0.679
314,left,c,0.823
315,left,c,0.663
316,left,c,0.767
317,right,c,0.663
318,left,c,0.638
319,left,c,0.617
320,right,c,0.585
321,left,c,0.694
322,right,c,0.631
323,left,c,0.991
324,left,c,1.423
325,right,c,0.719
326,left,w,0.791
327,left,c,2.95
328,right,c,0.552
329,left,c,0.576
330,left,c,0.975
331,right,c,0.624
332,right,c,0.735
333,left,c,1.055
334,right,c,0.567
335,left,c,0.704
336,right,c,0.76
337,left,c,0.624
338,right,c,0.599
339,right,c,0.552
340,left,c,0.6
341,left,c,0.703
342,left,c,0.847
343,left,c,0.583
344,right,c,0.56
345,right,c,0.734
346,right,c,0.951
347,right,c,0.703
348,right,c,0.847
349,right,c,0.631
350,right,c,0.735
351,right,c,0.599
352,right,c,0.999
353,left,c,0.815
354,left,c,0.729
355,left,c,0.998
356,right,c,0.556
357,right,c,0.617
358,left,c,0.575
359,right,c,0.647
360,right,c,1.04
361,right,c,3.237
362,right,c,0.751
363,right,c,0.559
364,right,c,0.671
365,right,c,0.76
366,right,c,0.656
367,right,c,0.527
368,left,c,0.752
369,left,c,0.807
370,right,c,0.767
371,right,c,0.743
372,left,c,0.504
373,right,c,0.696
374,left,w,0.768
375,left,c,1.678
376,left,c,2.311
377,left,c,1.439
378,right,c,0.967
379,left,c,0.903
380,left,c,1.463
381,right,c,1.223
382,right,c,0.711
383,left,c,0.823
384,left,c,0.863
385,right,c,0.912
386,left,w,0.735
387,left,c,1.246
388,right,c,0.624
389,left,c,1.759
390,right,c,0.727
391,right,c,0.912
392,left,c,0.527
393,right,c,0.671
394,right,c,1.129
395,right,c,0.854
396,right,c,1.032
397,left,c,0.703
398,left,c,0.798
399,left,c,0.791
400,right,c,0.856
401,right,c,1.712
402,left,c,0.704
403,right,c,1.544
404,left,c,0.815
405,left,c,1.319
406,right,c,0.543
407,right,c,0.664
408,left,w,0.935
409,left,c,1.391
410,right,c,0.823
411,left,c,1.726
412,left,c,1.111
413,left,c,1.143
414,right,c,0.519
415,right,c,0.759
416,right,c,1.423
417,right,c,1.095
418,left,w,1.039
419,right,c,1.661
420,right,c,0.92
421,left,c,1.033
422,left,c,0.893
423,right,c,0.776
424,left,c,0.696
425,left,c,1.255
426,left,c,0.864
427,right,c,0.752
428,right,c,0.816
429,left,c,0.936
430,left,c,0.968
431,left,c,0.752
432,left,c,0.839
433,right,c,0.76
434,left,c,0.784
435,left,c,1.031
436,right,c,0.807
437,left,c,0.983
438,left,c,1.647
439,left,c,1.007
440,left,c,1.336
441,left,c,0.831
442,left,c,0.839
443,right,c,0.998
444,right,c,0.945
445,right,c,0.871
