Tester: Yc
Test Date: 2016-04-15 15:41
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
314,left,c,1.623
315,left,c,2.127
316,left,c,1.927
317,left,c,1.231
318,left,c,1.471
319,left,c,0.863
320,right,c,0.855
321,left,c,0.943
322,right,c,0.791
323,left,c,0.967
324,right,c,0.863
325,left,c,1.727
326,right,c,0.863
327,left,c,0.776
328,left,c,1.887
329,left,c,1.168
330,right,c,1.056
331,right,c,1.224
332,right,c,1.128
333,left,c,1.032
334,left,c,1.352
335,right,c,0.984
336,right,c,1.056
337,right,c,1.039
338,right,c,1.336
339,right,c,0.8
340,right,c,0.991
341,right,c,0.824
342,right,c,1.135
343,left,c,2.455
344,right,c,0.879
345,left,c,0.999
346,right,c,1.319
347,left,c,1.063
348,right,c,1.215
349,left,c,0.848
350,right,c,1.327
351,right,c,0.983
352,left,c,0.992
353,left,c,1.167
354,left,c,1.415
355,right,c,1.304
356,left,c,1.136
357,right,c,1.104
358,right,c,1.128
359,right,c,0.896
360,right,c,1.28
361,left,c,4.596
362,left,c,1.319
363,right,c,7.383
364,right,c,2.624
365,left,c,1.104
366,right,c,0.76
367,right,c,1.392
368,left,c,0.959
369,left,c,1.271
370,right,c,1.2
371,left,c,0.792
372,right,c,1.488
373,right,c,1.703
374,right,c,1.168
375,right,c,1.08
376,right,c,0.992
377,left,c,1.023
378,right,c,0.952
379,left,c,1.056
380,right,c,1.063
381,right,c,2.08
382,right,c,0.824
383,right,c,1.392
384,left,c,1.047
385,right,c,0.823
386,left,c,1.023
387,left,c,1.815
388,right,c,1.064
389,left,c,1.231
390,left,c,1.128
391,right,c,1.039
392,left,c,1.168
393,left,c,1.383
394,right,c,0.952
395,left,c,0.879
396,left,c,0.968
397,left,c,1.144
398,right,c,1.655
399,left,c,0.848
400,right,c,0.976
401,left,c,0.968
402,right,c,2.592
403,left,c,1.104
404,left,c,0.984
405,right,c,0.799
406,left,c,0.76
407,left,c,1.352
408,left,c,1.703
409,right,c,0.76
410,right,c,0.833
411,left,c,0.95
412,right,c,2.287
413,right,c,1.591
414,right,c,0.903
415,right,c,1.159
416,right,c,1.192
417,left,c,1.463
418,left,c,1.048
419,left,c,1.495
420,left,c,1.272
421,right,c,0.895
422,right,c,0.92
423,right,c,1.288
424,left,c,1.544
425,left,c,3.36
426,left,c,2.568
427,left,c,1.504
428,left,c,1.6
429,right,c,1.2
430,right,c,0.959
431,right,c,1.127
432,left,c,1.096
433,right,c,0.863
434,right,c,1.303
435,left,c,1.015
436,left,c,1.159
437,left,c,1.199
438,left,c,1.583
439,left,c,1.344
440,right,c,0.863
441,left,c,0.984
442,left,c,0.887
443,right,c,1.297
444,right,c,1.063
445,right,c,1.327
446,left,c,1
447,right,c,0.919
448,right,c,0.872
449,left,c,1.304
450,right,c,1.944
451,right,c,1.456
452,right,c,1.08
453,right,c,1.08
454,right,c,1.112
455,left,c,1.312
456,right,c,0.935
457,left,c,1.167
458,left,c,1.279
459,left,c,1.407
460,right,c,1.015
