Tester: Tracy_2
Test Date: 2016-03-30 16:17
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
313,left,w,0.439
314,left,c,0.932
315,right,c,0.472
316,left,c,0.463
317,right,c,0.671
318,left,c,0.503
319,left,c,0.511
320,right,c,0.479
321,right,c,0.543
322,right,c,0.568
323,right,c,0.463
324,right,c,0.447
325,right,c,0.471
326,left,c,0.6
327,right,c,0.439
328,right,c,0.687
329,left,c,0.496
330,right,c,0.632
331,right,c,0.655
332,left,c,0.496
333,right,c,0.422
334,right,c,0.536
335,right,c,0.487
336,right,c,0.783
337,left,c,0.503
338,right,c,0.479
339,right,c,0.439
340,left,c,0.616
341,right,c,0.448
342,left,c,0.488
343,left,c,0.56
344,left,c,0.511
345,right,c,0.431
346,left,c,0.567
347,left,c,0.608
348,left,c,0.528
349,left,c,0.616
350,left,c,0.551
351,left,c,0.486
352,left,c,0.473
353,left,c,0.479
354,right,c,0.488
355,left,c,0.471
356,right,c,0.663
357,left,c,0.679
358,left,c,0.519
359,right,c,0.479
360,left,c,0.543
361,left,c,1.1
362,right,w,0.519
363,right,c,0.974
364,left,c,0.423
365,left,c,0.463
366,right,c,0.631
367,left,c,0.439
368,right,c,0.447
369,right,c,0.479
370,left,c,0.423
371,left,c,0.479
372,left,c,0.48
373,right,c,0.487
374,right,c,0.647
375,left,c,0.615
376,left,c,0.552
377,left,c,0.456
378,right,c,0.576
379,left,c,0.495
380,right,c,0.519
381,right,c,0.519
382,left,c,0.471
383,left,c,0.542
384,right,c,0.457
385,right,c,0.616
386,right,c,0.527
387,right,c,0.463
388,right,c,0.48
389,right,c,0.48
390,left,c,0.591
391,left,c,0.502
392,right,w,0.465
393,right,c,0.726
394,right,c,0.536
395,left,c,0.599
396,right,c,0.536
397,right,c,0.536
398,left,c,0.438
399,left,c,0.48
400,left,c,0.495
401,right,c,0.687
402,right,c,0.64
403,left,c,0.64
404,right,c,0.527
405,right,c,0.472
406,left,c,0.472
407,left,c,0.792
408,right,c,0.567
409,right,c,0.576
410,right,c,0.735
411,right,c,0.591
412,left,c,0.599
413,left,c,0.919
414,right,c,0.431
415,right,c,0.503
416,right,c,0.535
417,right,c,0.543
418,right,c,0.495
419,left,c,0.639
420,right,c,0.559
421,right,c,0.447
422,right,c,0.431
423,left,c,0.671
424,right,w,0.455
425,right,c,0.662
426,right,c,0.582
427,left,c,0.535
428,right,c,0.44
429,right,w,0.455
430,right,c,0.726
431,left,c,0.463
432,left,c,0.79
433,left,c,0.463
434,right,c,0.704
435,right,c,0.536
436,right,c,0.544
437,left,c,0.503
438,right,c,0.552
439,right,c,0.607
440,left,c,0.567
441,left,c,0.615
442,right,c,0.48
443,left,c,0.616
444,right,c,0.583
445,right,c,0.591
446,left,w,0.631
447,left,c,0.719
448,left,c,0.584
449,right,c,0.584
450,left,c,0.52
451,right,c,0.456
452,right,c,0.504
453,right,c,0.488
454,left,c,0.479
455,left,c,0.575
456,right,c,0.456
457,left,c,0.512
458,right,c,0.448
459,left,c,0.512
460,right,c,0.464
461,right,c,0.495
462,left,c,0.511
463,left,c,0.52
464,left,w,0.544
465,left,c,0.648
466,left,c,0.622
467,left,c,0.486
468,right,c,0.503
469,left,c,0.615
470,right,c,0.479
471,left,c,0.447
472,right,c,0.407
473,right,c,0.543
474,left,w,0.479
475,right,c,0.638
476,left,c,0.455
477,right,c,0.703
478,right,c,0.471
479,right,c,0.487
