negative-221 => 多嘴多話
negative-222 => 無吸引力的
negative-223 => 疑心病
negative-224 => 令人憤怒的
negative-225 => 小氣
negative-226 => 表面
negative-227 => 欺騙的
negative-228 => 不爽快的
negative-229 => 自我中心
negative-230 => 多管閒事
negative-231 => 沒水準的
negative-232 => 冰冷
negative-233 => 專橫
negative-234 => 令人討厭的
negative-235 => 懦弱
negative-236 => 沒禮貌
negative-237 => 無能
negative-238 => 幼稚
negative-239 => 膚淺
negative-240 => 忘恩負義
negative-241 => 自我膨脹
negative-242 => 無情無義
negative-243 => 不公平
negative-244 => 不負責任
negative-245 => 偏心
negative-246 => 愛吹牛
negative-247 => 見不得人好
negative-248 => 使人不愉快的
negative-249 => 不可靠
negative-250 => 粗鄙
negative-251 => 拙劣
negative-252 => 多嘴
negative-253 => 沒幽默感
negative-254 => 愛爭辯
negative-255 => 辱罵的
negative-256 => 不信任他人
negative-257 => 心胸狹小
negative-258 => 無法寬恕
negative-259 => 無聊的
negative-260 => 不道德
negative-261 => 不講道理
negative-262 => 勢利眼
negative-263 => 不近人情
negative-264 => 沒教養
negative-265 => 不友善
negative-266 => 過動
negative-267 => 容易感到厭惡
negative-268 => 極端刻薄
negative-269 => 冒犯的
negative-270 => 逞兇鬥狠
negative-271 => 雙面人
negative-272 => 擾人
negative-273 => 不尊重人
negative-274 => 大嘴巴
negative-275 => 自私
negative-276 => 不入流的
negative-277 => 沒心肝的
negative-278 => 傲慢
negative-279 => 輕率
negative-280 => 殘暴
negative-281 => 貪婪
negative-282 => 懷有惡意的
negative-283 => 愛羞辱人的
negative-284 => 虛假
negative-285 => 尖酸
negative-286 => 靠不住
negative-287 => 不名譽的
negative-288 => 惡毒
negative-289 => 面目可憎
negative-290 => 不誠懇
negative-291 => 不誠實
negative-292 => 殘忍
negative-293 => 卑鄙
negative-294 => 虛偽
negative-295 => 騙子

neutral-0 => 堅固
neutral-1 => 灼熱
neutral-2 => 平坦的
neutral-3 => 廣大的
neutral-4 => 明亮
neutral-5 => 鮮艷的
neutral-6 => 鮮明的
neutral-7 => 新鮮的
neutral-8 => 圓形的
neutral-9 => 涼爽
neutral-10 => 忙碌
neutral-11 => 迅速
neutral-12 => 頻繁
neutral-13 => 溼冷潮溼
neutral-14 => 煙霧彌漫
neutral-15 => 節奏感
neutral-16 => 方向感
